Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,SalaryIncrease,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HighPerformance
26,No,Travel_Frequently,Research & Development,10,3,3,Male,4,Laboratory Technician,4,Married,2544,0,Y,No,18,1,1,8,3,3,7,7,7,7,0
33,No,Travel_Rarely,Research & Development,13,5,4,Male,3,Healthcare Representative,3,Single,6388,2,Y,Yes,17,1,0,14,6,3,0,0,0,0,0
59,No,Travel_Rarely,Research & Development,5,3,3,Female,4,Laboratory Technician,1,Married,2670,4,Y,Yes,20,1,3,12,3,2,1,0,0,0,1
42,No,Travel_Rarely,Research & Development,21,3,2,Male,4,Healthcare Representative,1,Married,5538,5,Y,No,18,3,2,10,2,2,0,0,0,0,0
24,No,Travel_Rarely,Research & Development,27,1,4,Female,2,Manufacturing Director,3,Divorced,4377,1,Y,No,15,2,2,5,6,3,4,2,3,2,0
29,No,Travel_Rarely,Research & Development,37,2,3,Male,4,Research Scientist,3,Married,2700,1,Y,No,24,3,1,10,3,3,10,7,0,7,1
26,No,Travel_Rarely,Sales,47,2,1,Male,3,Sales Executive,3,Divorced,4306,5,Y,No,12,1,2,8,5,3,0,0,0,0,0
29,No,Travel_Rarely,Research & Development,45,4,3,Female,3,Research Scientist,4,Divorced,2514,4,Y,No,22,1,1,11,1,3,7,5,1,7,1
21,No,Non-Travel,Sales,14,2,1,Male,3,Sales Representative,4,Single,2610,1,Y,No,24,3,0,3,3,2,3,2,2,2,1
26,No,Travel_Rarely,Research & Development,6,2,3,Male,3,Research Scientist,4,Single,2875,1,Y,Yes,20,2,0,8,2,2,8,5,2,2,1
50,No,Travel_Frequently,Research & Development,2,3,1,Female,3,Research Director,2,Married,18172,3,Y,Yes,19,1,0,28,1,2,8,3,0,7,0
18,Yes,Travel_Frequently,Sales,8,3,2,Male,3,Sales Representative,2,Single,1878,1,Y,Yes,14,4,0,0,3,3,0,0,0,0,0
31,No,Travel_Rarely,Sales,47,4,1,Female,2,Sales Executive,4,Married,5468,1,Y,No,14,1,2,13,3,3,12,7,5,7,0
28,No,Travel_Rarely,Sales,42,3,3,Male,2,Sales Executive,1,Married,4724,1,Y,No,11,3,1,5,0,3,5,3,0,4,0
52,No,Travel_Rarely,Research & Development,11,4,2,Male,3,Healthcare Representative,2,Single,10445,7,Y,No,19,4,0,18,4,3,8,6,4,0,0
31,Yes,Travel_Frequently,Sales,2,3,4,Female,3,Sales Representative,2,Single,2302,1,Y,Yes,11,1,0,3,2,4,3,2,2,2,0
23,Yes,Travel_Rarely,Sales,11,3,3,Male,3,Sales Representative,4,Divorced,2275,1,Y,Yes,21,2,1,3,2,3,3,2,0,2,1
55,No,Travel_Rarely,Research & Development,3,2,4,Female,1,Manager,3,Married,19187,4,Y,No,14,4,1,23,5,3,19,9,9,11,0
36,No,Travel_Rarely,Sales,26,4,3,Female,2,Sales Executive,1,Married,5647,4,Y,No,13,1,2,11,3,2,3,2,0,2,0
28,Yes,Travel_Rarely,Research & Development,8,4,3,Male,3,Laboratory Technician,3,Single,3441,1,Y,Yes,13,3,0,2,3,2,2,2,2,2,0
35,No,Non-Travel,Sales,13,2,3,Female,2,Sales Executive,4,Married,10377,4,Y,Yes,11,2,1,16,6,2,13,2,4,12,0
36,No,Travel_Rarely,Research & Development,2,3,3,Female,1,Manufacturing Director,1,Divorced,10252,2,Y,Yes,21,3,1,17,2,3,7,7,7,7,1
33,No,Non-Travel,Sales,27,3,4,Male,3,Manager,3,Single,17444,1,Y,No,11,4,0,10,2,3,10,8,6,0,0
27,No,Travel_Frequently,Sales,13,3,4,Male,3,Sales Executive,3,Single,8726,1,Y,No,15,4,0,9,0,3,9,8,1,7,0
36,No,Travel_Rarely,Research & Development,3,3,4,Female,3,Research Scientist,3,Married,2543,4,Y,No,13,2,1,6,3,3,2,2,2,2,0
42,No,Travel_Rarely,Research & Development,10,3,3,Male,3,Research Director,1,Married,13348,9,Y,No,13,2,1,18,3,4,13,7,5,7,0
27,No,Travel_Rarely,Sales,16,3,4,Female,2,Sales Executive,4,Married,5769,1,Y,Yes,11,4,0,6,3,3,6,2,4,4,0
39,No,Travel_Rarely,Research & Development,2,4,3,Female,3,Laboratory Technician,3,Divorced,2232,7,Y,No,14,3,3,7,1,3,3,2,1,2,0
32,No,Travel_Frequently,Research & Development,39,4,1,Male,3,Laboratory Technician,4,Married,5309,1,Y,No,15,4,2,10,2,3,10,8,4,7,0
44,Yes,Travel_Rarely,Research & Development,5,3,1,Male,3,Laboratory Technician,1,Married,2362,4,Y,No,12,3,0,10,4,4,3,2,1,2,0
28,No,Travel_Frequently,Research & Development,10,3,3,Male,2,Research Scientist,3,Divorced,2703,1,Y,Yes,14,4,1,3,2,3,3,1,0,2,0
27,No,Travel_Rarely,Research & Development,14,3,4,Female,3,Research Scientist,2,Single,2279,1,Y,No,16,4,0,7,2,2,7,7,0,3,0
31,No,Travel_Rarely,Sales,3,1,2,Male,3,Sales Executive,4,Single,6582,4,Y,Yes,13,3,0,10,2,4,6,5,0,5,0
33,No,Travel_Rarely,Research & Development,24,2,2,Female,3,Healthcare Representative,4,Married,4878,0,Y,Yes,13,1,1,10,6,3,9,7,8,1,0
45,No,Travel_Frequently,Research & Development,11,4,1,Male,4,Manufacturing Director,3,Married,6434,4,Y,No,17,4,1,9,1,3,3,2,0,2,0
58,No,Travel_Rarely,Research & Development,14,3,2,Female,2,Research Scientist,2,Married,3346,4,Y,Yes,20,2,1,9,3,2,1,0,0,0,1
31,No,Non-Travel,Research & Development,2,4,3,Male,1,Manufacturing Director,3,Married,4345,0,Y,No,12,4,1,6,2,3,5,4,1,4,0
30,No,Travel_Rarely,Research & Development,8,3,4,Female,3,Research Scientist,1,Divorced,3204,5,Y,No,14,4,1,8,3,3,3,2,2,2,0
34,No,Travel_Frequently,Research & Development,35,4,3,Male,2,Research Scientist,4,Married,5747,1,Y,Yes,15,2,0,16,3,3,15,10,6,11,0
34,Yes,Non-Travel,Research & Development,26,4,4,Male,1,Research Scientist,1,Married,2307,1,Y,Yes,23,2,1,5,2,3,5,2,3,0,1
56,No,Travel_Rarely,Sales,18,5,4,Female,2,Sales Executive,1,Married,5380,4,Y,No,16,3,1,6,3,3,0,0,0,0,0
22,Yes,Travel_Frequently,Research & Development,5,4,3,Male,2,Research Scientist,4,Married,2853,0,Y,Yes,11,2,1,1,5,3,0,0,0,0,0
52,No,Travel_Rarely,Research & Development,6,2,4,Female,3,Manager,4,Married,16555,2,Y,No,13,4,0,31,2,1,5,2,1,4,0
32,No,Travel_Frequently,Research & Development,11,3,2,Male,4,Laboratory Technician,2,Married,2794,1,Y,No,20,3,0,5,3,1,5,1,0,3,1
38,No,Travel_Rarely,Sales,11,2,1,Female,4,Sales Executive,1,Divorced,5605,1,Y,Yes,24,3,1,8,3,3,8,0,7,7,1
30,No,Travel_Rarely,Sales,13,2,3,Male,3,Sales Executive,3,Divorced,7264,5,Y,No,11,1,1,10,2,4,8,4,7,7,0
28,No,Travel_Rarely,Research & Development,14,3,4,Male,3,Research Scientist,4,Married,2070,1,Y,No,23,4,1,5,3,2,5,2,0,4,1
44,No,Travel_Rarely,Sales,8,3,2,Male,3,Manager,2,Married,18213,7,Y,No,11,3,1,26,5,3,22,9,3,10,0
30,No,Travel_Rarely,Research & Development,2,3,4,Male,3,Research Scientist,2,Married,3579,0,Y,Yes,21,1,1,12,2,3,11,9,5,7,1
41,Yes,Travel_Rarely,Sales,32,2,2,Female,3,Sales Representative,2,Single,3140,1,Y,Yes,22,4,0,4,5,2,4,3,0,2,1
52,No,Travel_Frequently,Research & Development,40,4,3,Female,2,Manufacturing Director,4,Married,13826,3,Y,No,22,3,0,31,3,3,9,8,0,0,1
25,No,Travel_Rarely,Sales,6,1,3,Male,2,Sales Executive,1,Married,4256,1,Y,No,12,1,0,5,1,4,5,2,0,3,0
36,No,Travel_Rarely,Research & Development,42,4,1,Male,3,Healthcare Representative,3,Married,5347,6,Y,No,14,2,2,10,2,2,3,2,0,2,0
39,No,Non-Travel,Sales,34,4,1,Female,1,Sales Executive,3,Married,5736,6,Y,No,19,3,1,10,1,3,3,2,1,2,0
31,Yes,Travel_Frequently,Research & Development,24,3,3,Male,3,Laboratory Technician,3,Married,2610,1,Y,No,12,3,1,2,5,2,2,2,2,2,0
31,No,Travel_Frequently,Sales,3,4,4,Male,3,Sales Executive,1,Single,5332,7,Y,No,13,4,0,10,3,3,5,2,0,3,0
30,No,Travel_Rarely,Research & Development,39,1,4,Male,3,Laboratory Technician,3,Divorced,2693,1,Y,No,22,2,1,1,2,3,1,0,0,0,1
33,No,Travel_Frequently,Sales,40,3,2,Female,3,Sales Executive,3,Married,4539,1,Y,No,12,1,1,10,3,2,10,7,0,1,0
44,No,Travel_Rarely,Research & Development,47,4,4,Male,3,Research Scientist,4,Single,4541,1,Y,No,25,2,0,20,3,3,20,11,13,17,1
45,No,Travel_Rarely,Research & Development,32,3,2,Male,1,Healthcare Representative,1,Divorced,10851,2,Y,Yes,18,2,1,24,2,3,7,7,0,7,0
21,Yes,Travel_Rarely,Research & Development,29,1,4,Female,3,Research Scientist,4,Single,2693,1,Y,No,19,1,0,1,3,2,1,0,0,0,0
26,Yes,Travel_Rarely,Sales,13,3,4,Male,2,Sales Executive,1,Single,5326,6,Y,No,17,3,0,6,2,2,4,3,1,2,0
29,Yes,Travel_Rarely,Human Resources,21,3,1,Male,2,Human Resources,1,Divorced,2335,4,Y,Yes,15,4,3,4,3,1,2,2,2,0,0
39,No,Travel_Rarely,Research & Development,16,1,3,Male,3,Manager,1,Married,17068,1,Y,Yes,14,4,0,21,3,3,21,9,11,10,0
40,No,Travel_Rarely,Sales,42,3,3,Male,3,Sales Executive,1,Married,8396,1,Y,No,14,2,1,8,3,2,7,7,7,5,0
41,No,Travel_Frequently,Research & Development,16,3,4,Male,2,Manager,1,Divorced,17181,4,Y,No,13,2,1,21,2,2,7,6,7,7,0
34,No,Travel_Rarely,Sales,3,3,4,Male,3,Sales Executive,4,Single,6274,1,Y,No,22,3,0,6,5,3,6,5,1,4,1
36,No,Travel_Rarely,Research & Development,8,4,2,Female,2,Research Scientist,1,Married,3419,9,Y,Yes,14,4,1,6,3,4,1,1,0,0,0
32,No,Travel_Rarely,Research & Development,5,2,3,Female,3,Research Director,4,Single,11159,3,Y,No,15,4,0,10,6,3,7,7,7,7,0
26,Yes,Travel_Rarely,Research & Development,40,3,1,Male,1,Laboratory Technician,3,Single,2293,1,Y,No,12,3,0,1,2,2,1,0,0,1,0
33,No,Travel_Rarely,Sales,3,4,4,Male,3,Sales Executive,4,Divorced,5505,1,Y,No,14,3,2,6,5,3,6,2,0,4,0
36,No,Travel_Rarely,Research & Development,5,2,1,Female,3,Laboratory Technician,4,Divorced,2835,5,Y,No,22,1,1,7,2,3,1,0,0,0,1
38,No,Non-Travel,Research & Development,10,3,2,Female,1,Research Scientist,4,Divorced,5329,7,Y,Yes,12,4,3,17,3,3,13,11,1,9,0
30,No,Travel_Frequently,Research & Development,5,3,3,Female,3,Research Scientist,3,Divorced,2083,1,Y,No,20,3,1,1,2,3,1,0,0,0,1
42,No,Travel_Rarely,Research & Development,13,3,4,Male,3,Laboratory Technician,3,Single,3968,4,Y,No,13,4,0,8,3,3,0,0,0,0,0
33,No,Travel_Frequently,Research & Development,5,4,4,Female,3,Research Scientist,3,Married,2909,1,Y,Yes,11,3,0,8,3,3,8,7,3,0,0
29,No,Travel_Frequently,Research & Development,32,1,4,Male,3,Laboratory Technician,4,Married,3812,1,Y,No,13,2,0,11,3,4,11,8,3,10,0
48,No,Travel_Rarely,Research & Development,2,3,4,Male,2,Research Director,4,Single,18265,6,Y,No,12,3,0,25,3,4,1,0,0,0,0
53,No,Travel_Rarely,Sales,11,2,1,Female,2,Sales Executive,4,Married,10934,7,Y,Yes,18,4,1,35,3,3,5,2,0,4,0
45,No,Travel_Rarely,Human Resources,6,3,3,Female,1,Human Resources,3,Married,9756,4,Y,No,21,3,2,9,2,4,5,0,0,3,1
58,No,Travel_Rarely,Sales,16,4,4,Male,3,Sales Executive,3,Single,13872,0,Y,No,13,3,0,38,1,2,37,10,1,8,0
39,No,Travel_Rarely,Research & Development,29,2,1,Male,3,Manufacturing Director,3,Single,4534,0,Y,No,11,1,0,9,6,3,8,7,1,7,0
43,Yes,Travel_Rarely,Sales,14,3,1,Female,1,Sales Executive,3,Single,5346,8,Y,No,13,2,0,7,2,2,4,3,1,3,0
29,No,Travel_Rarely,Sales,16,1,4,Female,2,Sales Executive,2,Divorced,8268,1,Y,Yes,14,1,2,7,2,3,7,7,1,7,0
33,No,Travel_Frequently,Sales,8,1,2,Male,3,Sales Executive,4,Married,9998,6,Y,No,13,1,0,8,2,4,5,4,1,2,0
58,No,Travel_Rarely,Research & Development,8,3,3,Female,2,Healthcare Representative,2,Divorced,10552,2,Y,Yes,13,4,1,24,3,3,6,0,0,4,0
19,No,Travel_Rarely,Research & Development,5,1,2,Female,3,Laboratory Technician,2,Single,1483,1,Y,No,14,4,0,1,3,3,1,0,0,0,0
55,No,Travel_Rarely,Research & Development,3,3,3,Male,2,Research Director,1,Married,19038,8,Y,No,12,2,3,34,2,3,1,0,0,0,0
35,No,Travel_Rarely,Research & Development,37,4,3,Female,3,Laboratory Technician,1,Married,4014,3,Y,Yes,15,3,1,4,3,3,2,2,2,2,0
35,No,Non-Travel,Research & Development,13,4,3,Female,3,Healthcare Representative,3,Married,4148,1,Y,No,12,4,1,15,5,3,14,11,2,9,0
24,No,Non-Travel,Research & Development,6,1,1,Male,2,Laboratory Technician,4,Married,3162,0,Y,No,17,4,0,6,2,2,5,2,3,4,0
24,Yes,Travel_Rarely,Research & Development,2,3,2,Male,3,Research Scientist,4,Married,2293,2,Y,Yes,16,1,1,6,2,2,2,0,2,0,0
32,Yes,Travel_Frequently,Research & Development,26,1,2,Female,1,Research Scientist,1,Single,3919,1,Y,Yes,22,2,0,10,5,3,10,2,6,7,1
36,No,Travel_Rarely,Research & Development,10,2,2,Male,3,Manufacturing Director,2,Divorced,4941,6,Y,No,20,4,2,7,0,3,3,2,0,1,1
41,No,Travel_Rarely,Sales,3,4,4,Male,3,Manager,2,Single,16015,1,Y,No,19,2,0,22,2,3,22,10,0,4,0
55,No,Travel_Rarely,Sales,2,2,1,Male,3,Sales Executive,4,Married,10239,3,Y,No,14,4,1,24,4,3,1,0,1,0,0
46,No,Travel_Rarely,Sales,3,3,3,Female,3,Manager,1,Married,17048,8,Y,No,23,1,0,28,2,3,26,15,15,9,1
33,Yes,Travel_Rarely,Sales,26,3,1,Female,3,Sales Executive,1,Single,5324,5,Y,No,15,3,0,6,3,3,3,2,0,2,0
37,No,Travel_Frequently,Research & Development,14,3,2,Male,3,Research Scientist,4,Married,2326,1,Y,Yes,12,3,3,4,3,2,4,2,1,2,0
33,No,Non-Travel,Sales,13,1,2,Female,2,Sales Representative,4,Single,2342,0,Y,No,19,4,0,3,2,2,2,2,2,2,0
46,No,Travel_Rarely,Research & Development,3,2,4,Male,3,Manufacturing Director,4,Divorced,8578,3,Y,No,14,3,1,12,4,2,9,8,4,7,0
56,No,Travel_Rarely,Research & Development,14,3,3,Male,3,Healthcare Representative,4,Married,11103,7,Y,No,11,3,0,30,1,2,10,7,1,1,0
42,No,Travel_Rarely,Research & Development,27,2,4,Female,4,Research Scientist,1,Single,6545,3,Y,Yes,13,3,0,10,1,3,3,2,0,2,0
55,No,Non-Travel,Research & Development,13,1,4,Male,2,Healthcare Representative,2,Divorced,13577,1,Y,Yes,15,4,1,34,3,3,33,9,15,0,0
34,No,Travel_Frequently,Research & Development,5,1,1,Male,3,Healthcare Representative,4,Single,7756,0,Y,No,17,3,0,7,1,2,6,2,0,4,0
31,No,Travel_Frequently,Research & Development,2,3,4,Male,1,Research Scientist,1,Married,5003,1,Y,No,21,2,0,10,6,3,10,8,8,7,1
27,No,Travel_Rarely,Research & Development,3,4,4,Female,3,Laboratory Technician,1,Divorced,2341,1,Y,No,13,4,1,1,6,3,1,0,0,0,0
50,Yes,Travel_Frequently,Sales,13,2,2,Male,3,Sales Executive,3,Married,6796,3,Y,Yes,14,1,1,18,4,3,4,3,1,3,0
45,No,Travel_Rarely,Human Resources,39,4,2,Male,3,Human Resources,2,Single,2177,1,Y,No,16,1,0,6,3,1,6,3,0,4,0
34,No,Travel_Rarely,Research & Development,3,4,4,Male,2,Manufacturing Director,1,Married,5957,6,Y,No,13,2,1,13,3,3,11,9,5,9,0
40,Yes,Non-Travel,Sales,39,3,2,Female,4,Sales Executive,2,Single,13194,4,Y,Yes,16,4,0,22,2,2,1,0,0,0,0
43,No,Travel_Rarely,Sales,40,3,3,Male,2,Sales Executive,4,Divorced,10798,5,Y,No,13,3,1,18,5,3,1,0,0,0,0
36,Yes,Travel_Rarely,Sales,21,5,2,Male,2,Sales Executive,1,Divorced,6134,5,Y,Yes,13,2,3,16,3,3,2,2,2,2,0
23,No,Travel_Rarely,Research & Development,2,2,4,Male,3,Research Scientist,3,Married,1223,1,Y,No,22,4,1,1,2,3,1,0,0,1,1
42,No,Travel_Frequently,Sales,42,3,3,Female,3,Sales Executive,2,Married,13525,5,Y,No,14,4,1,23,2,4,20,4,4,8,0
23,Yes,Travel_Rarely,Research & Development,13,1,4,Male,2,Laboratory Technician,3,Single,3989,1,Y,Yes,11,1,0,5,2,3,5,4,1,2,0
31,No,Travel_Rarely,Research & Development,39,3,3,Female,2,Healthcare Representative,1,Single,6812,1,Y,No,19,2,0,10,2,3,10,9,1,8,0
38,No,Travel_Rarely,Research & Development,3,5,4,Male,3,Research Scientist,3,Married,3057,6,Y,Yes,13,2,1,6,0,1,1,0,0,1,0
43,No,Travel_Rarely,Research & Development,5,3,3,Male,1,Research Director,4,Married,19740,3,Y,No,14,2,1,25,2,3,8,7,0,7,0
32,No,Travel_Rarely,Research & Development,13,2,3,Female,4,Research Scientist,3,Married,5175,5,Y,No,12,3,1,9,3,2,5,3,1,3,0
55,No,Travel_Frequently,Research & Development,3,1,4,Male,3,Manufacturing Director,2,Married,10976,3,Y,No,18,2,1,23,4,3,3,2,1,2,0
52,No,Non-Travel,Research & Development,31,4,4,Male,3,Research Scientist,4,Married,4258,0,Y,No,18,1,1,5,3,3,4,3,1,2,0
37,No,Non-Travel,Research & Development,3,2,3,Male,2,Healthcare Representative,4,Divorced,5163,5,Y,No,14,4,1,17,2,4,1,0,0,0,0
46,No,Travel_Rarely,Research & Development,21,4,3,Male,3,Healthcare Representative,2,Single,5562,6,Y,No,14,4,0,19,3,3,10,7,0,9,0
